,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.74,-90.35,80.6,61,20,16.11,EC,1592856963
1,butaritari,3.07,172.79,82.81,76,27,12.93,KI,1592856964
2,arraial do cabo,-22.97,-42.03,86.0,78,0,6.93,BR,1592856964
3,mar del plata,-38.0,-57.56,53.01,87,100,6.93,AR,1592856866
4,bluff,-46.6,168.33,39.0,83,1,3.0,NZ,1592856964
5,esperance,-33.87,121.9,57.2,33,75,24.16,AU,1592856964
6,san patricio,19.22,-104.7,89.6,59,20,13.87,MX,1592856964
7,bredasdorp,-34.53,20.04,50.0,93,0,3.09,ZA,1592856964
8,svetlogorsk,52.63,29.73,64.53,96,100,5.21,BY,1592856964
9,rawson,-43.3,-65.1,55.38,51,85,13.82,AR,1592856742
10,tiznit,29.58,-9.5,71.02,68,1,4.9,MA,1592856964
11,hualmay,-11.1,-77.61,66.81,70,94,8.23,PE,1592856964
12,port lincoln,-34.73,135.87,52.83,77,43,6.08,AU,1592856965
13,sao filipe,14.9,-24.5,79.79,68,1,15.43,CV,1592856965
14,bambous virieux,-20.34,57.76,71.6,78,75,5.82,MU,1592856965
15,hermanus,-34.42,19.23,48.0,96,0,1.01,ZA,1592856965
16,yellowknife,62.46,-114.35,73.99,45,20,11.41,CA,1592856851
17,chuy,-33.7,-53.46,60.21,83,81,8.1,UY,1592856965
18,cape town,-33.93,18.42,55.4,93,75,9.17,ZA,1592856965
19,hirara,24.8,125.28,83.53,87,7,12.57,JP,1592856965
20,ponta do sol,32.67,-17.1,71.6,68,40,13.87,PT,1592856965
21,tuktoyaktuk,69.45,-133.04,62.6,51,75,8.05,CA,1592856965
22,punta arenas,-53.15,-70.92,42.01,86,75,13.87,CL,1592856784
23,ilulissat,69.22,-51.1,48.2,49,100,4.7,GL,1592856733
24,santa isabel do rio negro,-0.41,-65.02,83.03,87,32,1.81,BR,1592856965
25,nioro,13.35,-15.75,85.78,56,13,14.97,GM,1592856965
26,san lorenzo,-25.33,-57.53,89.6,43,0,12.75,PY,1592856965
27,cabedelo,-6.98,-34.83,78.8,74,75,12.75,BR,1592856965
28,bengkulu,-3.8,102.27,74.88,93,100,7.43,ID,1592856965
29,alta floresta,-9.88,-56.09,85.71,52,0,4.41,BR,1592856754
30,san cristobal,7.77,-72.22,82.4,58,40,27.51,VE,1592856966
31,zarautz,43.28,-2.17,69.01,81,86,1.01,ES,1592856966
32,port elizabeth,-33.92,25.57,53.6,93,0,4.7,ZA,1592856966
33,saint-leu,-21.15,55.28,68.0,82,8,3.36,RE,1592856966
34,rikitea,-23.12,-134.97,69.44,65,72,16.42,PF,1592856967
35,east london,-33.02,27.91,64.53,68,0,4.12,ZA,1592856967
36,svetlaya,46.54,138.33,52.83,93,89,2.08,RU,1592856967
37,wewak,-3.55,143.63,79.21,80,0,3.67,PG,1592856967
38,hamilton,39.18,-84.53,87.01,61,75,9.17,US,1592856795
39,broken hill,-31.95,141.43,41.0,86,0,6.93,AU,1592856967
